LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
456,12-11-2025,JIBREEL INDUSTRIES,TIRUPUR,80,5500.0,1,Booking
457,12-11-2025,KEL ELECTRICAL,KASARGOD,2,500.0,2,Booking
458,12-11-2025,SVM SOAPS,PALAKAD,13,5700.0,1,Booking
459,12-11-2025,LIGHTING STUDIO,RAMANATUKARA,1,250.0,1,Booking
460,12-11-2025,RISE REFRIGERATION,ERNAKULAM,11,2420.0,1,Booking
461,12-11-2025,GOLDEN DESINE,TIRUPUR,1,150.0,1,Booking
462,12-11-2025,ROUTS MULILLEAN,COIMBATORE,14,3000.0,1,Booking
463,12-11-2025,WILL MORE,MUVATUPUZHA,40,5300.0,1,Booking
464,12-11-2025,SRI JAYAM,TIRUPUR,2,300.0,1,Booking
465,12-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1,Booking
466,12-11-2025,VARIETY TOYS,TIRUR,21,6300.0,1,Booking
522,17-11-2025,SHIV MARKETING,ALUVA,6,1680.0,1,Booking
523,17-11-2025,VITAL MARKETING,TRIVANDRUM,1,250.0,1,Booking
524,17-11-2025,GLOBAL ASSOCIATE,ERNAKULAM,14,3500.0,1,Booking
525,17-11-2025,JOS ELECTRICALS,ERNAKULAM,2,500.0,1,Booking
526,17-11-2025,SONA MARKETING,RAMANATUKARA,22,4500.0,1,Booking
527,17-11-2025,BRYILYTE,THAMARASERY,1,250.0,1,Booking
528,17-11-2025,GPARTS TRADING,PALAKAD,11,2800.0,1,Booking
529,17-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1,Booking
530,17-11-2025,BADA BAZAAR,KARUNAGAPALLY,16,5000.0,1,Booking
531,17-11-2025,MA SONS,ATTINGAL,14,4500.0,1,Booking
532,17-11-2025,JEEVAN TRADERS,CHERTHALA,11,3500.0,1,Booking
533,17-11-2025,COVAI SINGAPORE,COIMBATORE,12,4400.0,1,Booking
534,17-11-2025,SARAVANAS BABY SHOP,COIMBATORE,3,1050.0,1,Booking
535,17-11-2025,A.S ENTERPRISES,TIRUPUR,1,100.0,1,Booking
536,18-11-2025,COVAI SINGAPORE,COIMBATORE,6,2300.0,1,Booking
538,18-11-2025,RR TEX,SIVAKASI,10,630.0,1,Booking
539,18-11-2025,SRI KARPAGA VINAYAGA,SALEM,40,3000.0,1,Booking
537,18-11-2025,JEEVAN TRADERS,CHERTHALA,11,4350.0,1,Booking
540,18-11-2025,SUN TEX MILLS,TIRUPUR,17,1560.0,2,Booking
541,18-11-2025,TEEKAY NON WOVEN,SIVAKASI,11,690.0,1,Booking
542,18-11-2025,JEEVAN TRADERS,ANGAMALLY,9,3650.0,1,Booking
543,18-11-2025,BADA BAZAR,KARUNAGAPPALY,8,3300.0,1,Booking
544,18-11-2025,SINECERA IMPORT,TIRUPUR,20,1750.0,1,Booking
545,18-11-2025,A.S ENTERPRISES,TIRUPUR,1,150.0,1,Booking
546,18-11-2025,SRI JAYAM,TIRUPUR,1,200.0,1,Booking
547,18-11-2025,SIGN IN,MUKKAM,1,250.0,1,Booking
548,18-11-2025,INDUSTRIAL PACK,PERUMBAVOOR,23,5500.0,1,Booking
549,19-11-2025,MANGALORE HOTEL,MANGALORE,18,5500.0,1,Booking
550,19-11-2025,GLOBAL DISTRIBUTORS,THRISSUR,5,1900.0,1,Booking
551,19-11-2025,PREMISES,TRIVANDRUM,1,500.0,1,Booking
552,19-11-2025,GRANDTECH,ERNAKULAM,66,9080.0,1,Booking
553,19-11-2025,PRABHU SHOP,COIMBATORE,15,1975.0,2,Booking
554,19-11-2025,SUM SOAPS,PALAKAD,3,2500.0,1,Booking
555,19-11-2025,SUPREME DECORATIVE,KASARGOD,2,600.0,1,Booking
556,19-11-2025,VISHNU PRASAD,KASARGOD,1,300.0,1,Booking
557,19-11-2025,NEW CLASSIC TRADERS,TRIVANDRUM,11,4400.0,1,Booking
558,19-11-2025,RAJESHWARS COLOUR,TIRUPUR,22,4000.0,1,Booking
559,19-11-2025,ALANKAR MARKETING,TIRUR,39,8500.0,1,Booking
560,19-11-2025,TEEKATH AGENCIES,THRISSUR,5,2400.0,2,Booking
561,19-11-2025,SAN MARKETING,COIMBATORE,1,150.0,1,Booking
562,19-11-2025,JAYA LAKSHMI SALES,TIRUPUR,20,2000.0,1,Booking
563,19-11-2025,TAILORS MART,ALUVA,1,200.0,1,Booking
564,19-11-2025,GBROS BADA,MANNARKAD,12,3840.0,1,Booking
565,19-11-2025,BARRY AND CLARK,TIRUPUR,1,100.0,1,Booking
566,19-11-2025,SHRI RAAM TRAD,TIRUPUR,16,1920.0,1,Booking
567,19-11-2025,SRI BALAJI,COIMBATORE,2,300.0,1,Booking
568,19-11-2025,SRI JAYAM,TIRUPUR,3,500.0,1,Booking
569,19-11-2025,CLASSIC GOLD,COIMBATORE,2,240.0,2,Booking
570,19-11-2025,NAVYA GOLD,COIMBATORE,1,120.0,2,Booking
571,20-11-2025,SKINCI PRODUCTS,KANNUR,5,1250.0,1,Booking
572,20-11-2025,USHA AGENCIES,ERNAKULAM,2,400.0,1,Booking
